Pickup Latitude,Pickup Longitude,Drop Latitude,Drop Longitude
12.9783692,77.6408356,12.9766637,77.5712556
13.0375689,77.6272688,12.9727083,77.7108456
12.937882,77.6930631,12.927743,77.680894
12.9185429,77.6219068,12.8439867,77.6739127
12.9365988,77.6140931,12.9344281,77.6165056
12.9733457,77.6303514,12.9733873,77.6370063
12.9590509,77.7494998,12.9165757,77.6101163
12.9377909,77.6217221,12.936964,77.6217297
12.9377909,77.6217221,12.9345373,77.6304559
12.936964,77.6217297,12.9351433,77.6120748
12.9733457,77.6303514,12.8849254,77.6991283
12.958515,77.6388295,12.916715,77.6140908
12.9352273,77.6244331,12.9726771,77.6318043
12.9352273,77.6244331,12.9185429,77.6219068
12.9733457,77.6303514,12.9733873,77.6370063
12.9402468,77.6179274,12.9376522,77.6224871
13.0579914,77.5919341,12.9726771,77.6318043
12.9726771,77.6318043,13.0572876,77.5945734
12.9733457,77.6303514,13.0397011,77.5897367
13.0572876,77.5945734,12.9726771,77.6318043
13.0572876,77.5945734,12.9726771,77.6318043
13.0572876,77.5945734,12.9981732,77.5530446
13.0572876,77.5945734,13.0397011,77.5897367
12.9185429,77.6219068,12.936964,77.6217297
13.0572876,77.5945734,12.9525755,77.5292796
12.9727083,77.7108456,13.0172076,77.6577424
12.9783692,77.6408356,12.9352273,77.6244331
12.9693799,77.6229447,12.9073282,77.6052799
12.9377909,77.6217221,12.936964,77.6217297
12.8439867,77.6739127,12.9165757,77.6101163
12.9698196,77.7499721,12.9865019,77.7439303
13.0234533,77.7164616,13.0172076,77.6577424
12.964978,77.716612,12.990976,77.7157208
13.0043255,77.6643937,12.9727083,77.7108456
12.9847459,77.5469828,12.9727083,77.7108456
12.937882,77.6930631,12.927743,77.680894
12.9185429,77.6219068,12.9165757,77.6101163
12.9189937,77.6326178,12.9165757,77.6101163
12.8439867,77.6739127,12.937058,77.578796
12.9847459,77.5469828,12.9727083,77.7108456
13.0172076,77.6577424,13.0949387,77.5940678
13.0417794,77.552672,12.9744437,77.7008061
12.9727083,77.7108456,13.0949387,77.5940678
12.916715,77.6140908,12.933478,77.615213
12.996993,77.669031,12.9726771,77.6318043
12.9727083,77.7108456,13.0375689,77.6272688
12.9165757,77.6101163,12.9351433,77.6120748
13.0254635,77.6615079,12.9493125,77.6447767
13.0234533,77.7164616,13.0375689,77.6272688
12.9352273,77.6244331,12.9226373,77.6174442
13,77.6
