Pickup Latitude,Pickup Longitude,Drop Latitude,Drop Longitude
12.9783692,77.6408356,12.9766637,77.5712556
13.0375689,77.6272688,12.9727083,77.7108456
12.937882,77.6930631,12.927743,77.680894
12.9185429,77.6219068,12.8439867,77.6739127
12.9365988,77.6140931,12.9344281,77.6165056
12.9590509,77.7494998,12.9165757,77.6101163
12.9377909,77.6217221,12.936964,77.6217297
12.936964,77.6217297,12.9351433,77.6120748
12.9733457,77.6303514,12.8849254,77.6991283
12.958515,77.6388295,12.916715,77.6140908
12.9352273,77.6244331,12.9726771,77.6318043
13,77.6
